rval	V(b)	I(R2)
1.000000000000000e+03	7.127430e-01	7.127430e-04
2.000000000000000e+03	1.107383e+00	5.536913e-04
3.000000000000000e+03	1.358025e+00	4.526749e-04
4.000000000000000e+03	1.531322e+00	3.828306e-04
5.000000000000000e+03	1.658291e+00	3.316583e-04
6.000000000000000e+03	1.755319e+00	2.925532e-04
7.000000000000000e+03	1.831879e+00	2.616971e-04
8.000000000000000e+03	1.893831e+00	2.367288e-04
9.000000000000000e+03	1.944990e+00	2.161100e-04
1.000000000000000e+04	1.987952e+00	1.987952e-04
